entity_raw,canonical_entity
vascular occlusion,vascular occlusion
flavum hypertrophy,flavum hypertrophy
canal stenosis,canal stenosis
concentric left ventricular hypertrophy,concentric left ventricular hypertrophy
vibratory loss,vibratory loss
sensory neuropathy,sensory neuropathy
axonal neuropathy,axonal neuropathy
paraneoplastic,paraneoplastic
sensorimotor neuropathy,sensorimotor neuropathy
proprioceptive loss,proprioceptive loss
peripheral nerve vasculitis,peripheral nerve vasculitis
sjogren,sjogren
connective tissue disease,connective tissue disease
paraneoplastic syndrome,paraneoplastic syndrome
gallium,gallium
axonal loss,axonal loss
muscle fiber atrophy,muscle atrophy
amyloid neuropathy,amyloid neuropathy
gammopathy,gammopathy
inherited neuropathy,inherited neuropathy
chronic inherited neuropathy,inherited neuropathy
muscle twitching,muscle twitching
mis,mis
muscle jerks,muscle jerks
"simvastatin, hydrochlorothiazide",simvastatin hydrochlorothiazide
painful neuropathy,painful neuropathy
jerky limb movements,jerky limb movements
viral illness,viral illness
parkinson's disease or alzheimer's disease,parkinsons disease or alzheimers disease
neurocutaneous,neurocutaneous
paratonia,paratonia
heel-to-knee,heeltoknee
t2 abnormalities,t2 abnormalities
hippocampal atrophy,hippocampal atrophy
cerebral small,cerebral small
cerebral small-vessel disease,cerebral smallvessel disease
urinary urgency,urinary urgency
weakness of his right leg,weakness of his right leg
hyperckemia,hyperckemia
orbital injury,orbital injury
niaspan,niaspan
deformans,deformans
leg deformities,leg deformities
allergic reactions,allergic reactions
clobazam,clobazam
tranxene,tranxene
low stamina,low stamina
focal neurologic symptoms,focal neurologic symptoms
"white matter ischemic changes.,past",white matter ischemic changespast
finger agnosia,finger agnosia
dysnomia,dysnomia
"nerves:,ii",nervesii
"low back pain.,at the end of the visit",low back painat the end of the visit
cognitive difficulties,cognitive problems
entocort,entocort
"tachycardia.,social",tachycardiasocial
cerebral hemorrhage,cerebral hemorrhage
wide-based,widebased
c6-c7,c6c7
vitamin b1,vitamin b1
homocystine,homocystine
multiple neurologic and nonneurologic symptoms,multiple neurologic and nonneurologic symptoms
decreased dexterity of his arms and general fatigue,decreased dexterity of his arms and general fatigue
sensory loss,sensory loss
myelopathic process,myelopathic process
muscular disorder,muscular disorder
"seen.,recommendations:,1",seenrecommendations1
dysphasia,dysphasia
sphenoid meningioma,sphenoid meningioma
left frontal meningioma,left frontal meningioma
meningiomas,meningiomas
loss of color vision,loss of vision
photopsias,photopsias
peripheral chorioretinal scarring,peripheral chorioretinal scarring
optic,optic
enlargement of tumor,enlargement of tumor
malignant meningioma,malignant meningioma
07/06,0706
hemiparesis,hemiparesis
expressive dysphasia,expressive dysphasia
dysfunction and expressive aphasia,dysfunction and expressive aphasia
right temporoparietal hemorrhage,right temporoparietal hemorrhage
lobulated fusiform aneurysm,lobulated aneurysm
peripheral branch of the left middle cerebral artery,peripheral branch of the left middle cerebral artery
"pyrexia.,she",pyrexiashe
hyperesthesia,hyperesthesia
finger-to-nose,fingertonose
lower extremity sensory responses,lower extremity sensory responses
neuropathic pain,neuropathic pain
"systems:,ros",systemsros
"sinus congestion.,ros cardiovascular",sinus congestionros cardiovascular
"problems.,ros",problemsros
"delayed motor development.,hx",delayed motor developmenthx
pregnancy-labor-spontaneous vaginal,pregnancylaborspontaneous vaginal
toxic intrauterine,toxic intrauterine
neurologic diseases,neurologic diseases
pes planovalgus,pes planus
s/p aortic endarterectomy,sp aortic endarterectomy
"life.,ros",liferos
constructional apraxia,constructional apraxia
varicella zoster,varicella zoster
herpes zoster,herpes zoster
hiv and htlv,hiv and htlv
mesiotemporal dysfunction,mesiotemporal dysfunction
limbic encephalitis,limbic encephalitis
"cancer of unknown origin.,he was last seen 7/26/96.",cancer of unknown originhe was last seen 72696
intracranial bleed,intracranial bleed
brachial plexopathy,brachial plexopathy
right suprascapular neuropathy,right suprascapular neuropathy
right shoulder impingement syndrome,right shoulder impingement syndrome
suprascapular neuropathy,suprascapular neuropathy
upper extremity impairment,upper extremity impairment
shoulder abduction,shoulder abduction
head fullness,head fullness
rhinocort,rhinocort
xyzal,xyzal
pulseless,pulseless
bretylium,bretylium
acute renal failure and liver failure,renal failure and liver failure
pp/vib/lt/temp,ppviblttemp
"femoral nerve distribution.,coord",femoral nerve distributioncoord
intra-osseous lipoma,intraosseous lipoma
mesial temporal dysfunction,mesial temporal dysfunction
anoxic,anoxic
fibrillation,fibrillation
femoral nerve compression,femoral nerve compression
complaint of gait difficulty,complaint of gait difficulty
lue pronator drift,lue pronator drift
lacunar stroke,lacunar stroke
weakness of the quadriceps and hip flexors,weakness of the quadriceps and hip flexors
left hip flexion,left hip flexion
back/neck pain,backneck pain
paresthesia/dysesthesia,paresthesiadysesthesia
dejerine-roussy syndrome,dejerineroussy syndrome
alcohol cirrhosis,alcohol cirrhosis
"seizures now.,past",seizures nowpast
denies drug abuse,denies drug abuse
denies fever,denies fever
"palpitations.,respiratory",palpitationsrespiratory
"alcoholic liver disease.,gu",alcoholic liver disease6
left-sided hemiparesis,leftsided hemiparesis
angiomas,angiomas
spastic hemiparesis,spastic hemiparesis
mood,mood
infantile spasms,infantile spasms
cerebral dysgenesis,cerebral dysgenesis
abnormal movements,abnormal movements
vigabatrin,vigabatrin
baclofen,baclofen
microcephalic,microcephalic
dystonic posture,dystonic posture
brain malformation,brain malformation
microcephaly,microcephaly
dystonic cerebral palsy,dystonic cerebral palsy
non-epileptic phenomenon,nonepileptic phenomenon
deterioration of motor and cognitive skills,deterioration of motor and cognitive skills
fidgety,fidgety
sertraline,sertraline
mgm,mgm
impersistence,impersistence
"memory loss only.,his chorea",memory loss onlyhis chorea
amphetamine,amphetamine
lethargic,lethargic
vfftt,vfftt
"stimuli.,coord/station/gait",stimulicoordstationgait
scleral hemorrhage,scleral hemorrhage
"subarachnoid hemorrhage.,2/28/95 brain mri",subarachnoid hemorrhage22895 brain mri
ischemic/vascular injury,ischemicvascular injury
left occipital headaches,left occipital headaches
aodm,aodm
xanthomatous astrocytoma,xanthomatous astrocytoma
auras,auras
"diplopia.,hx",diplopiahx
chronic unsteadiness,unsteadiness
juvenile rheumatoid arthritis,juvenile rheumatoid arthritis
1)juvenile rheumatoid arthritis,1juvenile rheumatoid arthritis
type cancer,type cancer
no romberg,no romberg
"tw.,reflexes",twreflexes
right cn6 palsy,right cn6 palsy
histoplasmosis,histoplasmosis
wegener's granulomatosis,wegeners granulomatosis
head or neck injury,head injury
nightsweats,nightsweats
anti-neuronal,antineuronal
histoplasmosis ag,histoplasmosis ag
demential syndrome,demential syndrome
right basal ganglia,right basal ganglia
aidp,aidp
fluticasone,fluticasone
miller-fisher,millerfisher
"future.,impression:,1",futureimpression1
guillain-barre miller-fisher,guillainbarre millerfisher
hand cramps,hand cramps
cramp,cramp
"symptoms.,he",symptomshe
primidone,primidone
head tremor,head tremor
voice tremor,voice tremor
stress incontinence,stress incontinence
dystonia,dystonia
sensorineural deafness,sensorineural deafness
basal cell carcinoma resection,basal cell carcinoma resection
hearing decreased,hearing decreased
fall,fall
salsalate,salsalate
2)right hemisphere stroke,2right hemisphere stroke
amaurosis fugax,amaurosis fugax
hr100,hr100
s/p left knee arthroplasty,sp left knee arthroplasty
comminuted fractures,comminuted fractures
o2 dependent,o2 dependent
multiple joint disease,multiple joint disease
head and right-sided hemiparesis,head and rightsided hemiparesis
amaryl,amaryl
colchicine,colchicine
musculoskeletal pains,musculoskeletal pains
lower extremity numbness,lower extremity numbness
coughs,coughs
"7.,general",7general
"diplopia, visual",diplopia visual
shoulder shrug,shoulder shrug
right-sided paresis,rightsided paresis
"antivert.,we",antivertwe
brain stroke,brain stroke
vertebrobasilar insufficiency,vertebrobasilar insufficiency
azmacort,azmacort
thoracic aortic aneurysm,thoracic aortic aneurysm
cerebellar stroke,cerebellar stroke
"hct,1/15/93",hct11593
cavernous angioma,cavernous angioma
abnormal vascular blush,abnormal vascular blush
nasopharyngeal cancer,nasopharyngeal cancer
chronic neck pain,neck pain
chronic dizziness,dizziness
tumour,tumor
"atherosclerotic cardiovascular disease.,4",atherosclerotic heart
"thrombocytopenia.,diagnoses",thrombocytopeniadiagnoses
right arm weakness,right arm weakness
coronary infarct,coronary infarct
"atherosclerotic cardiovascular disease.,6",atherosclerotic heart
obstructive lesion,obstructive lesion
elevated right hemidiaphragm,elevated right hemidiaphragm
concentric lvh,concentric lvh
lower extremity cellulitis,lower extremity cellulitis
excoriation,excoriation
"tinea pedis.,past",tinea pedispast
medical/family/social,medicalfamilysocial
lactic acid,lactic acid
"memory and cognitive decline.,hx",memory and cognitive declinehx
memory and cognitive decline,memory and cognitive decline
"back.,her mental status",backher mental status
dementing illness,dementing illness
right homonymous inferior quadrantanopsia,right homonymous inferior quadrantanopsia
right homonymous hemianopsia,right homonymous hemianopia
creutzfeldt-jakob disease,creutzfeldtjakob disease
cjd,cjd
temporal lobe epilepsy,temporal lobe epilepsy
lamotrigine,lamotrigine
cryptogenic left temporal lobe epilepsy,cryptogenic left temporal lobe epilepsy
carbatrol,carbatrol
epilepsy syndrome,epilepsy syndrome
head and neck circumference,head and neck circumference
"high.,impression:,1",highimpression1
"dyslipidemia.,4",dyslipidemia4
"obesity.,recommendations:,1",obesityrecommendations1
peripheral sensation,peripheral sensation
moyamoya disease,moyamoya disease
"takayasu and kawasaki disease.,plan",takayasu and kawasaki diseaseplan
fioricet,fioricet
carbidopa/levodopa,carbidopalevodopa
finasteride,finasteride
tamsulosin,tamsulosin
perisylvian atrophy,perisylvian atrophy
"enlargement of the ventricles.,problems/diagnoses:,1",enlargement of the ventriclesproblemsdiagnoses1
enlargement of the ventricles,enlargement of the ventricles
frank depression,frank depression
primary pain,primary pain
movement disorders,movement disorders
lung mesothelioma,lung mesothelioma
hypoactive,hypoactive
twitch,twitch
grimacing movements,grimacing movements
daydreaming,daydreaming
peripheral nerve injury,peripheral nerve injury
"made.,the slurred speech",madethe slurred speech
gait hesitancy,gait hesitancy
abnormal gait,abnormal gait
lower extremity spasticity,lower extremity spasticity
"left knee flexion contracture.,strength",left knee flexion contracturestrength
abnormal involuntary movements,abnormal movements
starlix,starlix
left cataract,left cataract
ataxic gait,ataxic gait
"left.,cardiovascular",leftcardiovascular
cord lesion,cord lesion
hypotonia,hypotony
tonsillar hypertrophy,tonsillar hypertrophy
left ptosis repair,left ptosis repair
left ptosis,left ptosis
hypesthesia,hypesthesia
arnold chiari ii,arnold chiari ii
compression of ventral pontomedullary junction,compression of ventral pontomedullary junction
achy sensation,achy sensation
androgel,androgel
astelin,astelin
nasacort,nasacort
ranitidine,ranitidine
paramyotonia,paramyotonia
anaplastic,anaplastic
right facial droop,right facial droop
temodar,temodar
thalidomide,thalidomide
thyroid abnormalities,thyroid disease
"deliveries.,social",deliveriessocial
q.o.d,qod
caltrate,caltrate
"d, b-complex vitamins",d bcomplex vitamins
"neurocutaneous stigmata.,cardiovascular",neurocutaneous stigmatacardiovascular
walking impairment,walking impairment
multi-organ system failure syndrome,multiorgan system failure syndrome
myoglobinuria,myoglobinuria
atherosclerotic cardiovascular disease,atherosclerotic heart
imdur,imdur
terazosin,terazosin
volume overload,volume overload
neck vein distention,neck vein distention
hypovolemia,hypovolemia
euvolemia,euvolemia
uterine cancer,uterine tumor
creatine,creatine
kayexalate,kayexalate
protein-creatinine,proteincreatinine
nephrotic,nephrotic
his renal failure,his renal failure
"end-stage renal disease.,social",endstage renal disease
hyperkalemia,hyperkalemia
glomerulonephropathy,glomerulonephropathy
nonalcoholic,nonalcoholic
hepatorenal insufficiency,hepatorenal insufficiency
cardiac cirrhosis,cardiac cirrhosis
hypertensive nephrosclerosis,hypertensive nephrosclerosis
protein/creatinine,proteincreatinine
left av fistula,left av fistula
colds,colds
pylori infection,pylori infection
gingival infection,gingival infection
"diffuse degenerative disc disease of the spine.,16",diffuse degenerative disc disease of the spine16
ulcerative fibroid,ulcerative fibroid
occult severe,occult
breast cysts,breast cysts
intestinal obstruction,intestinal obstruction
pseudomyxoma,pseudomyxoma
schwannoma of the brachial plexus,schwannoma of the brachial plexus
brachial plexus tumor,brachial plexus tumor
invanz,invanz
acute tubular necrosis,tubular necrosis
hypercalcemia,hypercalcemia
calcium chloride,calcium chloride
esrd,esrd
welchol,welchol
gengraf,gengraf
prostate cancer metastasizing,prostate cancer metastasizing
"noncontributory.,past",noncontributorypast
myocardial infarct,myocardial infarct
"end-stage renal disease.,past",endstage renal disease
"air.,cardiovascular",aircardiovascular
prograf,prograf
thymoglobulin,thymoglobulin
denies hematuria,denies hematuria
"end-stage renal disease.,5",endstage renal disease
carbonate,carbonate
left renal cell carcinoma,left renal tumor
"left renal cell carcinoma, left renal cyst.,secondary diagnoses:,1",left renal cell carcinoma with multiple renal cysts
"chronic obstructive pulmonary disease.,2",obstructive lung disease
left renal cyst decortication,left renal cyst decortication
left renal cell carcinoma with multiple renal cysts,left renal cell carcinoma with multiple renal cysts
enlarged renal cysts,enlarged renal cysts
bowel movements,bowel movements
"concerns.,followup",concernsfollowup
lumbar diskitis,lumbar diskitis
right upj obstruction,right upj obstruction
hypertension-induced renal failure,hypertensioninduced renal failure
nonfunctional av,nonfunctional av
"end-stage renal disease.,3",endstage renal disease
ferrous sulphate,ferrous sulfate
ckd,ckd
cozaar,cozaar
aranesp,aranesp
afib,afib
nephropathy,nephropathy
hiv complications,hiv complications
hiv diagnosed,hiv diagnosed
upper extremity av fistula,upper extremity av fistula
kaletra,kaletra
epivir,epivir
ziagen,ziagen
type-two diabetes,typetwo diabetes
abdominal bruit,abdominal bruit
abduction of his right,abduction of his right
hiv nephropathy,hiv nephropathy
calcium-containing phosphate,calciumcontaining phosphate
pulmonary infarcts,pulmonary infarcts
6/27/2009,6272009
chronic kidney failure,kidney failure
right back pain,right back pain
farsightedness,farsightedness
prerenal,prerenal
interstitial nephritis,interstitial nephritis
artifactual increase,artifactual increase
"however.,recommendations:,1",howeverrecommendations1
"diabetes.,past",diabetespast
non-icteric,nonicteric
no neurologic or cardiac event,no neurologic or cardiac event
coronary heart disease,coronary disease
a fasting blood sugar,a fasting blood sugar
truncal obesity,truncal obesity
fasting hyperglycemia,fasting hyperglycemia
"symptoms.,if",symptomsif
examinee,examinee
muscular weakness,muscular weakness
lower back injury,lower back injury
drug hypersensitivities,drug hypersensitivities
"degrees.,side",degreesside
hip flexion,hip flexion
lumbosacral pain,lumbosacral pain
paraspinal mass,paraspinal mass
idiopathic,idiopathic
congenital abnormalities,congenital anomaly
"pain.,he",painhe
vertebral compression,vertebral compression
"t6-t7 or t7-t8.,mr",t6t7 or t7t8mr
"basis.,he",basishe
back or neck injuries,back or neck pain
hydrocodone/acetaminophen,hydrocodoneacetaminophen
oswestry disability,oswestry disability
"treatment.,april",treatmentapril
thoracic pain,thoracic pain
thoracic spine pain,thoracic pain
upper extremity radicular symptoms,upper extremity pain
lower extremity weakness or discoordination,lower extremity weakness or discoordination
thoracic spine complaints,thoracic pain
"alzheimer’s disease.,again",alzheimers
chromogranin,chromogranin
pleomorphic/giant cell carcinoma,pleomorphicgiant cell carcinoma
primary lung sarcomatoid carcinoma,primary lung carcinoma
sarcomatoid carcinoma,sarcomatoid carcinoma
bronchioloalveolar carcinoma,bronchioloalveolar carcinoma
"non-small cell carcinoma,(adenocarcinoma",nonsmall cell carcinomaadenocarcinoma
upper lobe carcinoma,upper lobe carcinoma
tingling or weakness,tingling weakness
"there.,plan:,1",thereplan1
tetanus diphtheria,tetanus diphtheria
upper lobe mass,upper lobe mass
industrial injuries,industrial injury
biceps tenosynovitis,biceps tenosynovitis
supraspinatus tendonitis,supraspinatus tendonitis
anterior spondylolisthesis,anterior spondylolisthesis
discogenic back pain,discogenic back pain
ttd,ttd
"n, his primary",n his primary
"carpal tunnel syndrome right.,mr",carpal tunnel disease
disassembler,disassembler
left knee tear medial meniscus,left knee tear medial meniscus
"crutch.,he",crutchhe
"10.,he",10he
chronic injury,injury
"death.,4",death4
726.31 right medial epicondylitis,72631 right medial epicondylitis
"354.0 right carpal tunnel syndrome.,contested",3540 right carpal tunnel syndromecontested
354.2 right cubital,3542 right cubital
right carpal tunnel syndrome,right carpal tunnel syndrome
injury and illness,injury and illness
wrist flexion,wrist flexion
causalgia,causalgia
injury or disability,injury or disability
patellofemoral syndrome,patellofemoral syndrome
left knee sprain,left knee pain
patellar pain,patellar pain
industrial injury,industrial injury
compartment osteoarthritis of the left,compartment osteoarthritis of the left
right-sided back pain,rightsided back pain
intermittent tingling sensation,intermittent tingling sensation
upper extremity muscle,upper extremity muscle
a loss of at least 20% to 25% pre-injury grip strength,a loss of at least 20 to 25 preinjury grip strength
lower extremity muscle,lower extremity muscle
sprain/strain injury,sprainstrain injury
lumbar disc herniation,lumbar disc herniation
sprain/strain,sprainstrain
myofascial dysfunction,myofascial pain
thoracic sprain/strain,thoracic sprainstrain
industrial injury of 05/16/03,industrial injury of 051603
depot,depot
headaches and neck pain,headaches neck pain
right shoulder sprain,right shoulder pain
non-small-cell lung cancer,nonsmallcell lung cancer
inferior st-elevation,inferior stelevation
malignant hemorrhagic pericardial effusion,malignant pericardial effusion
irregular head movements,irregular head movements
"yes.,she",yesshe
hemorrhagic pericardial effusion,hemorrhagic pericardial effusion
malignant pericardial effusion,malignant pericardial effusion
roxanol,roxanol
thinners,thinners
transverse colon obstruction,transverse colon obstruction
cirrhosis with esophageal varices,cirrhosis with esophageal varices
chronic lymphedema,lymphedema
inspra,inspra
cachectic somnolent,cachectic somnolent
temporal wasting,temporal wasting
well-nourished 21-year-old,wellnourished 21yearold
"fine.,final",finefinal
first-degree,firstdegree
vaginal pain,vaginal pain
painful urgency,painful urgency
"hypertension.,review",hypertensionreview
"hard bowel movements.,medications",hard bowel movementsmedications
isosorbide,isosorbide
olanzapine,olanzapine
sorbitol,sorbitol
mmtp,mmtp
intertriginous,intertriginous
irritable obstruction,irritable obstruction
pregabalin,pregabalin
megace,megace
candidal infection,candidal infection
clotrimazole,clotrimazole
kaposi's sarcoma,kaposis sarcoma
transient renal failure,transient renal failure
partial bowel obstruction,partial bowel obstruction
guaifenesin 5-10 ml,guaifenesin 510 ml
diminished bowel sounds,diminished bowel sounds
opportunistic infections,opportunistic infections
mononucleosis,mononucleosis
complains,complains
itp,itp
t-cell,tcell
tooth abscess,tooth abscess
"left groin pain.,past",left groin painpast
diphenhydramine,diphenhydramine
diskitis,diskitis
outlet obstruction,outlet obstruction
hydroureter,hydroureter
"aldactone.,21",aldactone21
"non-small cell lung cancer.,history",nonsmall cell carcinoma
non-small cell lung cancer stage,nonsmall cell carcinoma
pulmonary edema,pulmonary edema
hepatitis major infection,hepatitis major infection
"cancers, bleeding",cancers bleeding
clotting disorders,clotting disorders
abdominal swelling,abdominal swelling
muscle aches,muscle pain
non-healing,nonhealing
hem,hem
shakiness,shakiness
"diabetes, thyroid problems",diabetes thyroid problems
exophthalmos,exophthalmus
"loss of coordination.,physical examination",loss of coordinationphysical examination
white matter disease,white matter disease
pontine ischemic,pontine ischemic
curable disease,curable disease
mullerian adenosarcoma,mullerian adenosarcoma
"nontender.,pelvic",nontenderpelvic
malt-type lymphoma,malttype lymphoma
malt-type,malttype
acute lymphoblastic leukemia,lymphoblastic leukemia
occult malignancy,occult malignancy
great-grandmother,greatgrandmother
great-uncle developed leukemia,greatuncle developed leukemia
great-grandfather,greatgrandfather
"fundi normal.,cardiovascular",fundi normalcardiovascular
nondiscrete fullness,nondiscrete fullness
"pneumonia.,procedures",pneumoniaprocedures
dtic,dtic
intermittent headaches,intermittent headaches
marginal b-cell lymphoma,marginal bcell lymphoma
"type ii diabetes mellitus.,physical examination:,heent",type ii diabetes mellitusphysical examinationheent
conjunctival pallor,conjunctival pallor
pleurisy,pleurisy
"tonsillectomy.,4",tonsillectomy4
toxicities,toxicities
myelosuppression,myelosuppression
cardiac toxicity,cardiac toxicity
bladder toxicity,bladder toxicity
allopurinol,allopurinol
iud,iud
stomach cancer,stomach cancer
"hematologic malignancies.,physical exam:,gen",hematologic malignanciesphysical examgen
peritoneal mesothelioma,peritoneal mesothelioma
bipolar disease,bipolar illness
ground-glass opacity,groundglass opacity
right adrenal adenoma,right adrenal adenoma
hemorrhagic renal cyst,hemorrhagic cyst
opacified bowel,opacified bowel
ventolin hfa 2 puffs,ventolin hfa 2 puffs
she had,she had
parkinson disease,parkinson disease
intermediate-grade glioma,intermediategrade glioma
"pending.,the",pendingthe
felbatol,felbatol
aggrenox,aggrenox
parkinson's,parkinsons
"appendectomy.,7",appendectomy7
gliomas,gliomas
"head and neck cancer.,history",head and neck cancerhistory
squamous cell carcinoma of the base of the tongue bilaterally and down extension,squamous cell carcinoma of the base of the tongue bilaterally and down extension
t3 n2c m0 stage,t3 n2c m0 stage
squamous cell carcinoma of the head and neck.,squamous cell carcinoma of the head and neck
otalgia,otalgia
"squamous cell carcinoma.,past",squamous carcinoma
popliteal vein thrombosis,popliteal vein thrombosis
renal infarct,renal infarct
thrombotic,thrombotic
hereditary hypercoagulable,hereditary hypercoagulable
leukemoid reaction,leukemoid reaction
myeloproliferative,myeloproliferative
"embolic right renal infarction.,4",embolic right renal infarction4
temodar 100-mg,temodar 100mg
"diagnosis.,social",diagnosissocial
haloperidol,haloperidol
iron-deficiency anemia,irondeficiency anemia
pelvic hematoma,pelvic hematoma
loperamide,loperamide
caspofungin,caspofungin
daptomycin,daptomycin
vitamin k.,vitamin k
"myeloproliferative disorder.,anemia",myeloproliferative disorderanemia
esophageal reflux,esophageal reflux
"atrial fibrillation.,4",atrial fibrillation4
"mesothelioma.,procedures",mesotheliomaprocedures
"pleural biopsy.,consults:,consults",pleural biopsyconsultsconsults
disseminated intravascular,disseminated intravascular
streptococcal pneumonia,streptococcal pneumonia
intravascular coagulation,intravascular coagulation
nondescript,nondescript
conjunctival hemorrhage,conjunctival hemorrhage
"breast cancer.,breast",breast lump
progesterone,progesterone
she,she
asbestosis,asbestosis
ductal carcinoma of the left breast,ductal carcinoma of the left breast
upper extremity lymphedema,upper extremity lymphedema
breast cancers,breast lump
precancerous polyps,precancerous polyps
"cancer history.,past",cancer historypast
serevent,serevent
allergic seafood,allergic seafood
"cancer of the nasopharynx, status post radiation",cancer of the nasopharynx status post radiation
carboplatin/5-fu,carboplatin5fu
cancer of the nasopharynx,cancer of the nasopharynx
miscarriage,miscarriage
colon cancers,colon cancer
"palpable.,pathology showed",palpablepathology showed
colon adenocarcinoma,colon cancer
bone pain,bone pain
"pulmonary, cardiac, renal, hepatic, thyroid, or central nervous system",pulmonary cardiac renal hepatic thyroid or central nervous system
"she was a child.,medications",she was a childmedications
miscarriages,miscarriages
pancreas cancer,pancreas cancer
stage ii colon cancer,stage ii colon cancer
"n0, m0 colon cancer",n0 m0 colon cancer
x-linked agammaglobulinemia,xlinked agammaglobulinemia
xla,xla
5-fu,5fu
adenomyomatosis,adenomyomatosis
intrahepatic ductal dilatation,intrahepatic ductal dilatation
stricturing mass of the mid-to-proximal common bile duct,stricturing mass of the midtoproximal common bile duct
cholangiocarcinoma,cholangiocarcinoma
biliary stricture,biliary stricture
lutein,lutein
infiltrating right frontotemporal neoplasm,infiltrating right frontotemporal neoplasm
high-grade neoplasm,highgrade neoplasm
oligodendroglioma,oligodendroglioma
headaches or vision,headaches vision
"dependent.,chief",dependentchief
diabetes including kidney disease,diabetes and kidney disease
blood or cancer disorders,blood or cancer disorders
"noncontributory.,dermatologic",noncontributorydermatologic
"noncontributory.,cardiovascular",noncontributorycardiovascular
bone marrow failure,bone marrow failure
fullness of the spleen,fullness of the spleen
pacerone,pacerone
cough syrup,cough syrup
viral respiratory illness,viral respiratory illness
insidious,insidious
psh,psh
acute respiratory distress,respiratory distress
illness or injuries,illness or injury
toothache pain,toothache pain
denture,denture
ludwig's syndrome,ludwigs syndrome
"tongue.,past",tonguepast
"chronic back pain.,past",back painpast
prempro,prempro
amaryl 2,amaryl 2
itching of the skin,itching of the skin
urticaria,urticaria
obese 54-year-old,obese 54yearold
stomatitis,stomatitis
hyperpigmentation,hyperpigmentation
enteritis,enteritis
gastrointestinal upset,gastrointestinal upset
lidex,lidex
90-day,90day
methamphetamines,methamphetamines
hidradenitis suppurativa,hidradenitis suppurativa
staphylococcus infection,staphylococcus infection
coalmine,coalmine
silica,silica
pneumoconiosis,pneumoconiosis
cardiac complications,cardiac complications
coal,coal
pernicious,pernicious
"charts.,systems",chartssystems
xerosis,xerosis
"lymphedema of upper extremities.,4",lymphedema of upper extremities4
noninfectious disorders,noninfectious disorders
"perioperative elevated blood pressure.,past",perioperative elevated blood pressurepast
graves,graves
left knee arthroplasty,left knee arthroplasty
"graves disease.,4",graves disease4
ros,ros
sequelae of,sequelae of
non-bilious,nonbilious
upper back pain,upper back pain
dyspneic,dyspneic
jugular venous distension,jugular venous distention
pustular,pustular
spiculation,spiculation
hypodense lesions,hypodense lesions
septated hydrocele,septated hydrocele
multiple complaints,multiple complaints
"coarse breath sounds bilaterally, but no dyspnea",coarse breath sounds bilaterally but no dyspnea
acute cardiac disease,cardiac disease
2.25,225
"tobacco.,past",tobaccopast
bladder infection,bladder infection
hyperemesis gravidarum,hyperemesis gravidarum
"seizure disorder.,procedures",seizure disorderprocedures
septic-like,septiclike
phenergan syrup,phenergan syrup
neurontin 400,neurontin 400
"q.72h.,14",q72h14
"accutane.,past",accutanepast
traumatic bony injury of the cervical spine,traumatic bony injury of the cervical spine
intracranial injury,intracranial injury
pelvic abnormalities,pelvic abnormalities
bony deformities,bony deformities
abrasion,abrasion
pelvic abnormities,pelvic abnormities
floor of the mouth,floor of mouth
auricular lymphadenopathy,auricular lymphadenopathy
"itching, hives",itching hives
"swallowing.,the",swallowingthe
anti-histamines,antihistamines
pancreatic lesion,pancreatic lesion
gallstone pancreatitis,gallstone pancreatitis
type 2,type 2
advair diskus,advair diskus
brain cancer,brain tumors
benign adenoma,benign adenoma
comatose,comatose
patent foramen ovale clot,patent foramen ovale clot
robaxin 750,robaxin 750
oxazepam,oxazepam
interstitial opacities,interstitial opacities
ogd,ogd
multiple strokes,multiple strokes
pfo,pfo
"parkinson's, she may have withdrawal to the beta-blockers",parkinsons she may have withdrawal to the betablockers
brevibloc,brevibloc
hyperventilate,hyperventilate
alkalosis,alkalosis
"fluctuating neurologic prognosis.,thank",fluctuating neurologic prognosisthank
itchiness,itchiness
itchy rash,itchy rash
oropharyngeal swelling,oropharyngeal lesions
good breath,good breath
antihistamine,antihistamine
respiratory complaints,respiratory complaints
"organic brain syndrome.,4",organic brain syndrome4
hypothermia,hypothermia
adrenal insufficiency,adrenal insufficiency
paresis,paresis
nonhealing,nonhealing
complaint of chest pain,complaint of chest pain
isosorbide mononitrate,isosorbide mononitrate
methylcellulose,methylcellulose
"nonsustained ventricular tachycardia.,5",nonsustained ventricular tachycardia5
rheumatic fever,rheumatic fever
gastric cancer,gastric cancer
"alzheimer disease.,habits",alzheimer diseasehabits
"benicar.,7",benicar7
postoperative fullness,postoperative fullness
hypersensitivity,hypersensitivity
fragmin,fragmin
toxic-appearing,toxicappearing
"respiratory distress.,vital signs",respiratory distressvital signs
lower lobe pneumonia,lower lobe pneumonia
hydrocarbon,hydrocarbon
"o2 protocol.,3",o2 protocol3
atrial tachyarrhythmia,atrial arrhythmias
atrial tachycardia,atrial arrhythmias
aortic sclerosis,aortic stenosis
bi-atrial enlargement,biatrial enlargement
"admission:,1",admission1
multivitamin p.o,multivitamin 1
felodipine,felodipine
had,had
recall renal calculi,recall renal calculi
"asthma, obstructive sleep apnea",asthma obstructive sleep apnea
diabetic foot ulcer,diabetic foot ulcer
mdis,mdis
diabetic foot,diabetic foot
acute cardiac arrest,cardiac arrest
hypotensive shock,hypotensive shock
acute respiratory distress syndrome,respiratory distress syndrome
right frontal headache,right frontal headache
nuchal rigidity,nuchal rigidity
norflex,norflex
