entity_raw,canonical_entity
urinary obstruction,urinary obstruction
debility,debility
microacinar type,microacinar type
nocturia,nocturia
abnormal prostate,abnormal prostate
prostatic malignancy,prostatic malignancy
tubular adenocarcinoma,tubular adenocarcinoma
knee amputation,knee amputation
gangrene,gangrene
complaints of bleeding,complaints of bleeding
purulent,purulent
"hpi.,past",hpipast
peripheral vascular disease,peripheral arterial disease
afrin,afrin
neurontin,neurontin
furosemide,furosemide
labetolol,labetolol
plavix,plavix
nitroglycerin,nitroglycerin
aricept,aricept
oxycodone,oxycodone
norvasc,norvasc
hyperlipidemia,hyperlipidemia
chronic renal insufficiency,renal insufficiency
palpable,palpable
potassium,potassium
bacitracin,bacitracin
penile injury,penile injury
injuries,injuries
coags,coags
glucose,glucose
calcium,calcium
penile laceration,penile laceration
bacterial infection,bacterial infection
leukocytosis,leukocytosis
vac,vac
penile damage,penile damage
penile cellulitis,penile cellulitis
heart murmurs,heart murmurs
seizures,seizures
active infection,active infection
abdominal pain,abdominal pain
obstruction,obstruction
detrol,detrol
bladder anatomic abnormalities,bladder anatomic abnormalities
"adenocarcinoma of prostate, erectile dysfunction.,diagnostic",adenocarcinoma of prostate erectile dysfunctiondiagnostic
"carcinoma, right pelvic obturator lymph node.,3",carcinoma right pelvic obturator lymph node3
adenocarcinoma of prostate,adenocarcinoma of prostate
"adenocarcinoma of prostate, gleason's score 9",adenocarcinoma of prostate gleasons score 9
"right undescended testicle.,operations:,1",right undescended testicleoperations1
undescended,undescended
overactive bladder,overactive bladder
pyuria,pyuria
outlet obstructive,outlet obstructive
ditropan,ditropan
atrophic vaginitis,atrophic vaginitis
penile block,penile block
paraphimosis,paraphimosis
acute alcohol intoxication,alcohol intoxication
left undescended testis,left undescended testis
ilioinguinal nerve block,ilioinguinal nerve block
undescended testis,undescended testis
hernia hydrocele,hernia hydrocele
right undescended testis,right undescended testis
nonpalpable right undescended,nonpalpable right undescended
carbon dioxide,carbon dioxide
postoperative pain,postoperative pain
microhematuria,microhematuria
kidney stone,kidney stone
smoking,smoking
left intrarenal stone,left intrarenal stone
nonobstructing,nonobstructing
ancef,ancef
cystocele or rectocele,cystocele or rectocele
overactivity of the bladder,overactivity of the bladder
sanctura,sanctura
bladder neck constricture,bladder obstruction
phlebitis,phlebitis
neurogenic bladder,neurogenic bladder
urosepsis,urosepsis
steroids,steroids
intermittent self-catheterization,intermittent selfcatheterization
keflex,keflex
necrotic,necrotic
vancomycin,vancomycin
torsed,torsed
one-and-a-half,oneandahalf
q.i.d,qid
motrin,motrin
atrophy,atrophy
stenosis,stenosis
"right ureteropelvic junction obstruction.,2.",right ureteropelvic junction obstruction2
"pyeloplasty.,anesthesia",pyeloplastyanesthesia
right ureteropelvic junction obstruction,right ureteropelvic junction obstruction
ureteropelvic junction obstruction,ureteropelvic junction repair
fibrosis,fibrosis
bowel injury,bowel injury
right inguinal hernia,right inguinal hernia
phimosis,phimosis
lipoma of the cord,lipoma of the cord
alpha-blockers,alphablockers
enlargement of the left lateral lobes of the prostate,enlargement of the lateral lobes of the prostate
bladder overactivity,bladder overactivity
stricture,stricture
enlargement of the lateral lobes of the prostate,enlargement of the lateral lobes of the prostate
right groin,right groin
"right inguinal hernia repair.,indications for procedure: , this patient",right inguinal hernia repairindications for procedure this patient
9-year-old,9yearold
occult hernia,occult hernia
chlorhexidine,chlorhexidine
cerebral palsy,cerebral palsy
gastroesophageal reflux,gastroesophageal reflux
right torsed appendix,right torsed appendix
gastroesophageal reflux disease,gastroesophageal reflux disease
"hemostasis.,the external oblique fascia",hemostasisthe external oblique fascia
penoscrotal abscess,penoscrotal abscess
fascitis,fascitis
fournier's gangrene,fourniers gangrene
sore,sore
wart,wart
squamous cell carcinoma,squamous carcinoma
chordee,chordee
tip,tip
malignancy,malignancy
cystocele,cystocele
rectocele,rectocele
uterine tumor,uterine tumor
uterine fibroid,uterine fibroid
leiomyosarcoma,leiomyosarcoma
fibroid,fibroid
penoscrotal hypospadias,penoscrotal hypospadias
loosened,loosened
left hydrocele,left hydrocele
enlargement of the scrotum,enlargement of the scrotum
papillary tumors,papillary tumor
scarring,scarring
hydrocele of the cord,hydrocele of the cord
"zegerid.,4",zegerid4
"morphine.,9",morphine9
folic,folic
anicteric sclerae,anicteric sclerae
pneumonia,pneumonia
atelectasis,atelectasis
"parkinson's, and chf.,family",parkinsons and chffamily
"nausea, vomiting",nausea reaction
hematoma,hematoma
coagulopathy,coagulopathy
numbness,numbness
anxiety,anxiety
lupron,lupron
cranial nerves ii,cranial nerves ii
kidney cancer,kidney cancer
"prostate or kidney disease.,review",prostate or kidney diseasereview
tremors,tremors
headaches,headaches
sluggishness,sluggishness
varicose,varicose
skin rash,skin rash
infections,infections
blood clotting,blood clots
depressive,depressive
pedunculated cauliflower-like lesion,pedunculated cauliflowerlike lesion
molluscum contagiosum,molluscum contagiosum
viral infection,viral illness
injury and accidental injury,injury and accidental injury
stomach pain,stomach pain
reglan,reglan
prilosec,prilosec
pepcid,pepcid
carafate,carafate
allergic symptoms,allergic symptoms
wheeze,wheeze
cramping,cramping
"denies nausea, vomiting",denies nausea vomiting
thyromegaly,thyromegaly
cipro,cipro
famotidine,famotidine
barium,barium
uti,uti
iodine,iodine
urethral stricture,urethral stricture
zoladex,zoladex
vaginitis,vaginitis
estrace,estrace
lateral lobe obstruction,lateral lobe obstruction
bladder tumors,bladder tumor
benign prostatic hyperplasia,benign prostatic hypertrophy
obstruction or intraluminal defects,obstruction or intraluminal defects
ritalin,ritalin
ileus,ileus
bladder mass or stone,bladder mass or stone
macrodantin,macrodantin
"dribbling urine, inability to empty bladder",dribbling urine inability to empty bladder
urinary hesitancy,urinary hesitancy
allergy,allergy
rigidity,rigidity
peyronie,peyronie
condylomata,condylomata
icterus,icterus
depression,depression
"agitation.,test",agitationtest
caffeinated or alcoholic beverages,caffeinated or alcoholic beverages
prostatic hypertrophy,prostatic hypertrophy
left ureteral stone,left ureteral stone
nausea and vomiting,nausea reaction
flank pain,flank pain
nausea,nausea
pseudomonas urinary tract infection,pseudomonas urinary tract infection
ceftazidime,ceftazidime
enalapril,enalapril
multiple urinary tract infection,multiple urinary tract infection
"problems.,social",problemssocial
hydralazine,hydralazine
hypertensive,hypertensive
alpha-blocker,alphablocker
papillomatosis,papillomatosis
polyp,polyp
pyridium,pyridium
"prostate hypertrophy.,postoperative",prostate hypertrophypostoperative
"prostate hypertrophy.,procedures",prostate hypertrophyprocedures
obstructive voiding symptoms,obstructive voiding symptoms
visual obturator blanching the bladder,visual obturator blanching the bladder
cellules,cellules
cialis,cialis
caverject,caverject
levitra,levitra
"obstruction or ureteral/bladder lesions.,procedure performed:,1",obstruction or ureteralbladder lesionsprocedure performed1
urothelial dysplasia,urothelial dysplasia
neoplasia-associated karyotypic,neoplasiaassociated karyotypic
stones or mucosal abnormalities,stones or mucosal abnormalities
intrapelvic or calyceal stones,intrapelvic or calyceal stones
renal cell carcinoma,renal cell carcinoma
bilateral renal cysts,bilateral renal cysts
hemorrhagic cyst,hemorrhagic cyst
nonprostatic hyperplasia,nonprostatic hyperplasia
"discharge.,he",dischargehe
"right ureteropelvic junction obstruction.,procedures performed:,1",right ureteropelvic junction obstruction2
right renal pelvis urine,right renal pelvis urine
abnormal appearing right kidney,abnormal appearing right kidney
upj,upj
upj obstruction,upj obstruction
papillary mass,papillary mass
"carcinoma of the urinary bladder.,2",carcinoma of the bladder
"catheter x3.,postoperative diagnoses:,1",catheter x3postoperative diagnoses1
bilobular prostatic hyperplasia,bilobular prostatic hyperplasia
vesicoureteral reflux,vesicoureteral reflux
right reflux nephropathy,right reflux nephropathy
hit,hit
reflux nephropathy,reflux nephropathy
voiding and bowel dysfunction,voiding and bowel dysfunction
reflux,reflux
low-dose,lowdose
trilobar enlargement of the prostate,trilobar enlargement of the prostate
"hematuria.,operations",hematuriaoperations
cupful of clots,cupful of clots
utis,utis
contracture,contracture
uroseptic,uroseptic
diabetic and urinary retention,diabetic and urinary retention
urinary tract infections,urinary tract infections
bladder calculus,bladder calculus
carcinoma of the urinary bladder,carcinoma of the bladder
carcinoid tumor,carcinoid tumor
small bowel lesion,small bowel lesion
right hydronephrosis,right hydronephrosis
high-grade muscle invasive bladder cancer,highgrade muscle invasive bladder cancer
multiple abnormalities,multiple abnormalities
fibrous,fibrous
extensive cancer,extensive cancer
teflon-coated,tefloncoated
hemorrhage,hemorrhage
meatal stenosis,meatal stenosis
povidone iodine,povidone iodine
osteoporosis,osteoporosis
gynecomastia,gynecomastia
impotency,impotency
obstruction and retention,obstruction and retention
carcinoma of the prostate,carcinoma of the prostate
lubricate,lubricate
lower pole renal stone,lower pole renal stone
upj stone,upj stone
fevers of unknown etiology.,fevers of unknown etiology
lower extremity dvt,lower extremity dvt
penicillin,penicillin
betamethasone cream,betamethasone cream
"scarring, decrease in",scarring decrease in
emla,emla
nesacaine,nesacaine
"removed.,vaseline",removedvaseline
"noted.,routine",notedroutine
priapism,priapism
leaks,leaks
flaccid,flaccid
rectal dysfunction,rectal dysfunction
rectal injury,rectal injury
scalp hemangioma,scalp hemangioma
bladder laceration,bladder laceration
carcinomas of the bladder neck,carcinomas of the bladder neck
carcinomas of the bladder,carcinomas of the bladder
atenolol,atenolol
"diabetes, shortness of breath",diabetes shortness of breath
cva tenderness,cva tenderness
lower back pain,lower back pain
fatigue,fatigue
groin pain,groin pain
paresthesia,paresthesia
dizziness,dizziness
syncope,syncope
near-syncope,nearsyncope
polyuria,polyuria
polydipsia,polydipsia
morphine,morphine
oxygen,oxygen
rales or rhonchi,rales or rhonchi
hepatosplenomegaly,hepatosplenomegaly
normal mood,normal mood
lymphadenitis,lymphadenitis
phenergan,phenergan
nerve block,nerve block
premarin,premarin
elmiron,elmiron
elavil,elavil
compazine,compazine
140,140
dmso,dmso
kenalog,kenalog
sodium bicarbonate,sodium bicarbonate
bladder lesions,bladder tumor
bladder carcinoma,bladder tumor
carcinoma of the bladder,carcinoma of the bladder
degenerative joint disease,degenerative disease
postoperative edema,postoperative edema
right adrenal lesion,right adrenal lesion
cortisol,cortisol
aldosterone,aldosterone
condyloma,condyloma
claudication,claudication
gu injury,gu injury
metoprolol,metoprolol
diltiazem,diltiazem
hydrocodone,hydrocodone
pravastatin,pravastatin
gu cancer,gu cancer
small rhonchi,small rhonchi
clubbing,clubbing
left kidney atrophy,left renal atrophy
hydro or stones,hydro or stones
cataract,cataract
vision,vision
mydriacyl,mydriacyl
iopidine,iopidine
isd,isd
coaptite,coaptite
sphincter deficiency,sphincter deficiency
bladder cystocele,bladder cystocele
carmine,carmine
premarin cream,premarin cream
hallux limitus deformity,hallux limitus deformity
bleeders,bleeders
gouty tophi,gouty tophi
hyperemia,hyperemia
nonfunctioning mass,nonfunctioning mass
"peripheral vascular disease.,postoperative diagnoses,1",peripheral vascular diseasepostoperative diagnoses1
seropurulent,seropurulent
bacitracin clindamycin,bacitracin clindamycin
tetracaine,tetracaine
opacity,opacity
decrease in visual acuity,decrease in visual acuity
alphagan,alphagan
hydrocephalus,hydrocephalus
intraventricular hemorrhage,interventricular hemorrhage
wydase,wydase
conjunctival,conjunctival
epiretinal,epiretinal
fracture,fracture
polymethylmethacrylate,polymethylmethacrylate
cement,cement
congestive heart failure symptoms,congestive heart failure symptoms
tachybrady arrhythmias,tachybrady arrhythmias
beta-blocker,betablocker
pectoris,pectoris
steroid,steroid
bipolar,bipolar
tachybrady,tachybrady
vitreous hemorrhage,vitreous hemorrhage
diabetic membranes emanating along the arcades,diabetic membranes emanating along the arcades
panretinal,panretinal
decadron,decadron
atropine,atropine
maxitrol ointment,maxitrol ointment
retinal detachment,retinal detachment
akinesia,akinesia
retinal tears,retinal tears
vitreous,vitreous
intracranial hemorrhage,intracranial bleed
ffp,ffp
vitamin k,vitamin k
chronic venous hypertension,venous hypertension
painful varicosities,painful varicosities
groin,groin
"staples.,then",staplesthen
"ace bandages.,estimated",ace bandagesestimated
triventricular hydrocephalus,triventricular hydrocephalus
aqueductal stenosis,aqueductal stenosis
macrocephaly,macrocephaly
cerebral edema,cerebral edema
"brain injury.,postoperative",brain injurypostoperative
tractional detachment,tractional detachment
"vaginal hysterectomy.,anesthesia",vaginal hysterectomyanesthesia
endometriosis,endometriosis
bipolar electrocautery,bipolar electrocautery
neosporin,neosporin
midline laceration,midline laceration
third-degree midline laceration,thirddegree midline laceration
ldr,ldr
pitocin,pitocin
labored,labored
rupture,rupture
"therapist.,pitocin",therapistpitocin
complaints of inability to swallow anything including her saliva,complaints of inability to swallow anything including her saliva
perforation,perforation
fentanyl,fentanyl
propofol,propofol
submucosal hemorrhage,submucosal hemorrhage
esophageal stricture,esophageal tear
distal esophageal stricture,distal esophageal stricture
food impaction,food impaction
"5, para 1-0-3-1",5 para 1031
vaginal bleeding,vaginal bleeding
pelvic cramping,pelvic pain
anteverted,anteverted
povidone,povidone
cardiac arrest,cardiac arrest
"1, para 0",1 para 0
erosions,erosions
esophageal foreign,esophageal foreign
otitis,otitis
"conductive hearing loss.,postoperative diagnoses:,1",conductive hearing losspostoperative diagnoses1
"loss.,procedure",lossprocedure
effusion,effusion
hearing loss,hearing loss
cholesteatoma,cholesteatoma
ciloxan,ciloxan
adenotonsillar hypertrophy,adenotonsillar hypertrophy
mcivor mouth gag,mcivor mouth gag
left external auditory canal,left external auditory canal
